match_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,home_team_score_penalties,away_team_score_penalties,home_team_win,away_team_win,yellow_card,red_card,substitutions
Austria v Chile,T-05,Austria,AUT,T-13,Chile,CHL,1–1,1,1,0,0,0,0,0,0,8,0,9
Cameroon v Italy,T-11,Cameroon,CMR,T-39,Italy,ITA,0–3,0,3,-3,3,0,0,0,1,8,1,6
Denmark v South Africa,T-21,Denmark,DNK,T-67,South Africa,ZAF,1–1,1,1,0,0,0,0,0,0,7,3,6
France v Saudi Arabia,T-28,France,FRA,T-60,Saudi Arabia,SAU,4–0,4,0,4,-4,0,0,1,0,4,2,6
Bulgaria v Nigeria,T-10,Bulgaria,BGR,T-48,Nigeria,NGA,0–1,0,1,-1,1,0,0,0,1,8,0,10
Paraguay v Spain,T-53,Paraguay,PRY,T-70,Spain,ESP,0–0,0,0,0,0,0,0,0,0,8,0,11
Croatia v Japan,T-17,Croatia,HRV,T-42,Japan,JPN,1–0,1,0,1,-1,0,0,1,0,10,0,12
Belgium v Mexico,T-06,Belgium,BEL,T-44,Mexico,MEX,2–2,2,2,0,0,0,0,0,0,6,2,10
Netherlands v South Korea,T-46,Netherlands,NLD,T-68,South Korea,KOR,5–0,5,0,5,-5,0,0,1,0,2,0,6
Germany v Yugoslavia,T-29,Germany,DEU,T-83,Yugoslavia,YUG,2–2,2,2,0,0,0,0,0,0,1,0,6
Argentina v Jamaica,T-03,Argentina,ARG,T-41,Jamaica,JAM,5–0,5,0,5,-5,0,0,1,0,5,1,6
Iran v United States,T-36,Iran,IRN,T-79,United States,USA,2–1,2,1,1,-1,0,0,1,0,3,0,6
Colombia v Tunisia,T-15,Colombia,COL,T-75,Tunisia,TUN,1–0,1,0,1,-1,0,0,1,0,3,0,6
England v Romania,T-27,England,ENG,T-58,Romania,ROU,1–2,1,2,-1,1,0,0,0,1,4,0,5
Cameroon v Chile,T-11,Cameroon,CMR,T-13,Chile,CHL,1–1,1,1,0,0,0,0,0,0,5,2,6
Austria v Italy,T-05,Austria,AUT,T-39,Italy,ITA,1–2,1,2,-1,1,0,0,0,1,6,0,13
Brazil v Norway,T-09,Brazil,BRA,T-51,Norway,NOR,1–2,1,2,-1,1,0,0,0,1,2,0,3
Morocco v Scotland,T-45,Morocco,MAR,T-61,Scotland,SCO,3–0,3,0,3,-3,0,0,1,0,2,1,5
Denmark v France,T-21,Denmark,DNK,T-28,France,FRA,1–2,1,2,-1,1,0,0,0,1,4,0,6
Saudi Arabia v South Africa,T-60,Saudi Arabia,SAU,T-67,South Africa,ZAF,2–2,2,2,0,0,0,0,0,0,3,0,5
Nigeria v Paraguay,T-48,Nigeria,NGA,T-53,Paraguay,PRY,1–3,1,3,-2,2,0,0,0,1,2,0,5
Bulgaria v Spain,T-10,Bulgaria,BGR,T-70,Spain,ESP,1–6,1,6,-5,5,0,0,0,1,4,0,6
Belgium v South Korea,T-06,Belgium,BEL,T-68,South Korea,KOR,1–1,1,1,0,0,0,0,0,0,6,0,9
Mexico v Netherlands,T-44,Mexico,MEX,T-46,Netherlands,NLD,2–2,2,2,0,0,0,0,0,0,9,1,11
Germany v Iran,T-29,Germany,DEU,T-36,Iran,IRN,2–0,2,0,2,-2,0,0,1,0,3,0,4
United States v Yugoslavia,T-79,United States,USA,T-83,Yugoslavia,YUG,0–1,0,1,-1,1,0,0,0,1,3,0,6
Argentina v Croatia,T-03,Argentina,ARG,T-17,Croatia,HRV,1–0,1,0,1,-1,0,0,1,0,14,0,11
Jamaica v Japan,T-41,Jamaica,JAM,T-42,Japan,JPN,2–1,2,1,1,-1,0,0,1,0,3,0,6
Colombia v England,T-15,Colombia,COL,T-27,England,ENG,0–2,0,2,-2,2,0,0,0,1,13,0,14
Romania v Tunisia,T-58,Romania,ROU,T-75,Tunisia,TUN,1–1,1,1,0,0,0,0,0,0,2,0,6
Italy v Norway,T-39,Italy,ITA,T-51,Norway,NOR,1–0,1,0,1,-1,0,0,1,0,9,1,11
Brazil v Chile,T-09,Brazil,BRA,T-13,Chile,CHL,4–1,4,1,3,-3,0,0,1,0,16,0,17
France v Paraguay,T-28,France,FRA,T-53,Paraguay,PRY,1–0,1,0,1,-1,0,0,1,0,5,0,6
Denmark v Nigeria,T-21,Denmark,DNK,T-48,Nigeria,NGA,4–1,4,1,3,-3,0,0,1,0,2,0,5
Germany v Mexico,T-29,Germany,DEU,T-44,Mexico,MEX,2–1,2,1,1,-1,0,0,1,0,10,0,12
Netherlands v Yugoslavia,T-46,Netherlands,NLD,T-83,Yugoslavia,YUG,2–1,2,1,1,-1,0,0,1,0,3,0,2
Croatia v Romania,T-17,Croatia,HRV,T-58,Romania,ROU,1–0,1,0,1,-1,0,0,1,0,5,0,5
Argentina v England,T-03,Argentina,ARG,T-27,England,ENG,2–2,2,2,0,0,4,3,1,0,11,1,15
France v Italy,T-28,France,FRA,T-39,Italy,ITA,0–0,0,0,0,0,4,3,1,0,15,1,18
Brazil v Denmark,T-09,Brazil,BRA,T-21,Denmark,DNK,3–2,3,2,1,-1,0,0,1,0,6,0,6
Argentina v Netherlands,T-03,Argentina,ARG,T-46,Netherlands,NLD,1–2,1,2,-1,1,0,0,0,1,18,2,18
Croatia v Germany,T-17,Croatia,HRV,T-29,Germany,DEU,3–0,3,0,3,-3,0,0,1,0,4,1,3
Brazil v Netherlands,T-09,Brazil,BRA,T-46,Netherlands,NLD,1–1,1,1,0,0,4,2,1,0,11,0,11
Croatia v France,T-17,Croatia,HRV,T-28,France,FRA,1–2,1,2,-1,1,0,0,0,1,6,1,10
Croatia v Netherlands,T-17,Croatia,HRV,T-46,Netherlands,NLD,2–1,2,1,1,-1,0,0,1,0,6,0,4
Brazil v France,T-09,Brazil,BRA,T-28,France,FRA,0–3,0,3,-3,3,0,0,0,1,13,1,15
France v Senegal,T-28,France,FRA,T-62,Senegal,SEN,0–1,0,1,-1,1,0,0,0,1,2,0,2
Cameroon v Republic of Ireland,T-11,Cameroon,CMR,T-57,Republic of Ireland,IRL,1–1,1,1,0,0,0,0,0,0,4,0,3
Denmark v Uruguay,T-21,Denmark,DNK,T-80,Uruguay,URY,2–1,2,1,1,-1,0,0,1,0,3,0,6
Germany v Saudi Arabia,T-29,Germany,DEU,T-60,Saudi Arabia,SAU,8–0,8,0,8,-8,0,0,1,0,3,0,6
Argentina v Nigeria,T-03,Argentina,ARG,T-48,Nigeria,NGA,1–0,1,0,1,-1,0,0,1,0,8,0,15
Paraguay v South Africa,T-53,Paraguay,PRY,T-67,South Africa,ZAF,2–2,2,2,0,0,0,0,0,0,8,0,5
England v Sweden,T-27,England,ENG,T-71,Sweden,SWE,1–1,1,1,0,0,0,0,0,0,3,0,4
Slovenia v Spain,T-66,Slovenia,SVN,T-70,Spain,ESP,1–3,1,3,-2,2,0,0,0,1,3,0,6
Croatia v Mexico,T-17,Croatia,HRV,T-44,Mexico,MEX,0–1,0,1,-1,1,0,0,0,1,3,2,11
Brazil v Turkey,T-09,Brazil,BRA,T-76,Turkey,TUR,2–1,2,1,1,-1,0,0,1,0,9,2,12
Ecuador v Italy,T-24,Ecuador,ECU,T-39,Italy,ITA,0–2,0,2,-2,2,0,0,0,1,4,0,6
China v Costa Rica,T-14,China,CHN,T-16,Costa Rica,CRI,0–2,0,2,-2,2,0,0,0,1,7,0,6
Belgium v Japan,T-06,Belgium,BEL,T-42,Japan,JPN,2–2,2,2,0,0,0,0,0,0,5,0,5
Poland v South Korea,T-55,Poland,POL,T-68,South Korea,KOR,0–2,0,2,-2,2,0,0,0,1,5,0,6
Russia v Tunisia,T-59,Russia,RUS,T-75,Tunisia,TUN,2–0,2,0,2,-2,0,0,1,0,4,0,6
Portugal v United States,T-56,Portugal,PRT,T-79,United States,USA,2–3,2,3,-1,1,0,0,0,1,4,0,12
Germany v Republic of Ireland,T-29,Germany,DEU,T-57,Republic of Ireland,IRL,1–1,1,1,0,0,0,0,0,0,0,0,6
Denmark v Senegal,T-21,Denmark,DNK,T-62,Senegal,SEN,1–1,1,1,0,0,0,0,0,0,6,1,6
Cameroon v Saudi Arabia,T-11,Cameroon,CMR,T-60,Saudi Arabia,SAU,1–0,1,0,1,-1,0,0,1,0,2,0,6
France v Uruguay,T-28,France,FRA,T-80,Uruguay,URY,0–0,0,0,0,0,0,0,0,0,5,1,6
Nigeria v Sweden,T-48,Nigeria,NGA,T-71,Sweden,SWE,1–2,1,2,-1,1,0,0,0,1,3,0,4
Paraguay v Spain,T-53,Paraguay,PRY,T-70,Spain,ESP,1–3,1,3,-2,2,0,0,0,1,8,0,11
Argentina v England,T-03,Argentina,ARG,T-27,England,ENG,0–1,0,1,-1,1,0,0,0,1,11,1,15
Slovenia v South Africa,T-66,Slovenia,SVN,T-67,South Africa,ZAF,0–1,0,1,-1,1,0,0,0,1,6,0,6
Croatia v Italy,T-17,Croatia,HRV,T-39,Italy,ITA,2–1,2,1,1,-1,0,0,1,0,2,0,5
Brazil v China,T-09,Brazil,BRA,T-14,China,CHN,4–0,4,0,4,-4,0,0,1,0,2,0,6
Ecuador v Mexico,T-24,Ecuador,ECU,T-44,Mexico,MEX,1–2,1,2,-1,1,0,0,0,1,6,0,6
Costa Rica v Turkey,T-16,Costa Rica,CRI,T-76,Turkey,TUR,1–1,1,1,0,0,0,0,0,0,5,0,6
Japan v Russia,T-42,Japan,JPN,T-59,Russia,RUS,1–0,1,0,1,-1,0,0,1,0,6,0,6
South Korea v United States,T-68,South Korea,KOR,T-79,United States,USA,1–1,1,1,0,0,0,0,0,0,3,0,5
Belgium v Tunisia,T-06,Belgium,BEL,T-75,Tunisia,TUN,1–1,1,1,0,0,0,0,0,0,5,0,6
Poland v Portugal,T-55,Poland,POL,T-56,Portugal,PRT,0–4,0,4,-4,4,0,0,0,1,5,0,6
Denmark v France,T-21,Denmark,DNK,T-28,France,FRA,2–0,2,0,2,-2,0,0,1,0,4,0,12
Senegal v Uruguay,T-62,Senegal,SEN,T-80,Uruguay,URY,3–3,3,3,0,0,0,0,0,0,12,0,6
Cameroon v Germany,T-11,Cameroon,CMR,T-29,Germany,DEU,0–2,0,2,-2,2,0,0,0,1,18,2,6
Republic of Ireland v Saudi Arabia,T-57,Republic of Ireland,IRL,T-60,Saudi Arabia,SAU,3–0,3,0,3,-3,0,0,1,0,2,0,6
England v Nigeria,T-27,England,ENG,T-48,Nigeria,NGA,0–0,0,0,0,0,0,0,0,0,0,0,4
Argentina v Sweden,T-03,Argentina,ARG,T-71,Sweden,SWE,1–1,1,1,0,0,0,0,0,0,5,0,6
Paraguay v Slovenia,T-53,Paraguay,PRY,T-66,Slovenia,SVN,3–1,3,1,2,-2,0,0,1,0,7,2,6
South Africa v Spain,T-67,South Africa,ZAF,T-70,Spain,ESP,2–3,2,3,-1,1,0,0,0,1,4,0,6
Brazil v Costa Rica,T-09,Brazil,BRA,T-16,Costa Rica,CRI,5–2,5,2,3,-3,0,0,1,0,1,0,6
China v Turkey,T-14,China,CHN,T-76,Turkey,TUR,0–3,0,3,-3,3,0,0,0,1,5,1,6
Croatia v Ecuador,T-17,Croatia,HRV,T-24,Ecuador,ECU,0–1,0,1,-1,1,0,0,0,1,3,0,5
Italy v Mexico,T-39,Italy,ITA,T-44,Mexico,MEX,1–1,1,1,0,0,0,0,0,0,7,0,6
Belgium v Russia,T-06,Belgium,BEL,T-59,Russia,RUS,3–2,3,2,1,-1,0,0,1,0,8,0,12
Japan v Tunisia,T-42,Japan,JPN,T-75,Tunisia,TUN,2–0,2,0,2,-2,0,0,1,0,2,0,6
Poland v United States,T-55,Poland,POL,T-79,United States,USA,3–1,3,1,2,-2,0,0,1,0,5,0,6
Portugal v South Korea,T-56,Portugal,PRT,T-68,South Korea,KOR,0–1,0,1,-1,1,0,0,0,1,8,2,4
Germany v Paraguay,T-29,Germany,DEU,T-53,Paraguay,PRY,1–0,1,0,1,-1,0,0,1,0,5,1,6
Denmark v England,T-21,Denmark,DNK,T-27,England,ENG,0–3,0,3,-3,3,0,0,0,1,2,0,5
Senegal v Sweden,T-62,Senegal,SEN,T-71,Sweden,SWE,2–1,2,1,1,-1,0,0,1,0,2,0,4
Republic of Ireland v Spain,T-57,Republic of Ireland,IRL,T-70,Spain,ESP,1–1,1,1,0,0,2,3,0,1,3,0,6
Mexico v United States,T-44,Mexico,MEX,T-79,United States,USA,0–2,0,2,-2,2,0,0,0,1,10,1,6
Belgium v Brazil,T-06,Belgium,BEL,T-09,Brazil,BRA,0–2,0,2,-2,2,0,0,0,1,6,0,9
Japan v Turkey,T-42,Japan,JPN,T-76,Turkey,TUR,0–1,0,1,-1,1,0,0,0,1,4,0,6
Italy v South Korea,T-39,Italy,ITA,T-68,South Korea,KOR,1–2,1,2,-1,1,0,0,0,1,16,1,9
Brazil v England,T-09,Brazil,BRA,T-27,England,ENG,2–1,2,1,1,-1,0,0,1,0,2,1,4
Germany v United States,T-29,Germany,DEU,T-79,United States,USA,1–0,1,0,1,-1,0,0,1,0,12,0,12
South Korea v Spain,T-68,South Korea,KOR,T-70,Spain,ESP,0–0,0,0,0,0,5,3,1,0,7,1,10
Senegal v Turkey,T-62,Senegal,SEN,T-76,Turkey,TUR,0–1,0,1,-1,1,0,0,0,1,4,0,2
Germany v South Korea,T-29,Germany,DEU,T-68,South Korea,KOR,1–0,1,0,1,-1,0,0,1,0,7,0,11
Brazil v Turkey,T-09,Brazil,BRA,T-76,Turkey,TUR,1–0,1,0,1,-1,0,0,1,0,9,2,12
South Korea v Turkey,T-68,South Korea,KOR,T-76,Turkey,TUR,2–3,2,3,-1,1,0,0,0,1,3,0,6
Brazil v Germany,T-09,Brazil,BRA,T-29,Germany,DEU,2–0,2,0,2,-2,0,0,1,0,2,0,5
Costa Rica v Germany,T-16,Costa Rica,CRI,T-29,Germany,DEU,2–4,2,4,-2,2,0,0,0,1,1,0,6
Ecuador v Poland,T-24,Ecuador,ECU,T-55,Poland,POL,2–0,2,0,2,-2,0,0,1,0,3,0,6
England v Paraguay,T-27,England,ENG,T-53,Paraguay,PRY,1–0,1,0,1,-1,0,0,1,0,6,0,8
Sweden v Trinidad and Tobago,T-71,Sweden,SWE,T-74,Trinidad and Tobago,TTO,0–0,0,0,0,0,0,0,0,0,5,1,5
Argentina v Ivory Coast,T-03,Argentina,ARG,T-40,Ivory Coast,CIV,2–1,2,1,1,-1,0,0,1,0,5,0,6
Netherlands v Serbia and Montenegro,T-46,Netherlands,NLD,T-64,Serbia and Montenegro,SCG,1–0,1,0,1,-1,0,0,1,0,6,0,6
Iran v Mexico,T-36,Iran,IRN,T-44,Mexico,MEX,1–3,1,3,-2,2,0,0,0,1,3,0,5
Angola v Portugal,T-02,Angola,AGO,T-56,Portugal,PRT,0–1,0,1,-1,1,0,0,0,1,5,0,6
Australia v Japan,T-04,Australia,AUS,T-42,Japan,JPN,3–1,3,1,2,-2,0,0,1,0,7,0,6
Czech Republic v United States,T-19,Czech Republic,CZE,T-79,United States,USA,3–0,3,0,3,-3,0,0,1,0,6,0,6
Ghana v Italy,T-30,Ghana,GHA,T-39,Italy,ITA,0–2,0,2,-2,2,0,0,0,1,5,0,6
South Korea v Togo,T-68,South Korea,KOR,T-73,Togo,TGO,2–1,2,1,1,-1,0,0,1,0,7,1,6
France v Switzerland,T-28,France,FRA,T-72,Switzerland,CHE,0–0,0,0,0,0,0,0,0,0,8,0,5
Brazil v Croatia,T-09,Brazil,BRA,T-17,Croatia,HRV,1–0,1,0,1,-1,0,0,1,0,8,0,8
Spain v Ukraine,T-70,Spain,ESP,T-77,Ukraine,UKR,4–0,4,0,4,-4,0,0,1,0,2,1,6
Saudi Arabia v Tunisia,T-60,Saudi Arabia,SAU,T-75,Tunisia,TUN,2–2,2,2,0,0,0,0,0,0,4,0,6
Germany v Poland,T-29,Germany,DEU,T-55,Poland,POL,1–0,1,0,1,-1,0,0,1,0,8,1,6
Costa Rica v Ecuador,T-16,Costa Rica,CRI,T-24,Ecuador,ECU,0–3,0,3,-3,3,0,0,0,1,5,0,6
England v Trinidad and Tobago,T-27,England,ENG,T-74,Trinidad and Tobago,TTO,2–0,2,0,2,-2,0,0,1,0,6,0,5
Paraguay v Sweden,T-53,Paraguay,PRY,T-71,Sweden,SWE,0–1,0,1,-1,1,0,0,0,1,8,0,6
Argentina v Serbia and Montenegro,T-03,Argentina,ARG,T-64,Serbia and Montenegro,SCG,6–0,6,0,6,-6,0,0,1,0,4,1,6
Ivory Coast v Netherlands,T-40,Ivory Coast,CIV,T-46,Netherlands,NLD,1–2,1,2,-1,1,0,0,0,1,7,0,6
Angola v Mexico,T-02,Angola,AGO,T-44,Mexico,MEX,0–0,0,0,0,0,0,0,0,0,7,1,6
Iran v Portugal,T-36,Iran,IRN,T-56,Portugal,PRT,0–2,0,2,-2,2,0,0,0,1,7,0,6
Czech Republic v Ghana,T-19,Czech Republic,CZE,T-30,Ghana,GHA,0–2,0,2,-2,2,0,0,0,1,7,1,6
Italy v United States,T-39,Italy,ITA,T-79,United States,USA,1–1,1,1,0,0,0,0,0,0,7,3,8
Croatia v Japan,T-17,Croatia,HRV,T-42,Japan,JPN,0–0,0,0,0,0,0,0,0,0,10,0,12
Australia v Brazil,T-04,Australia,AUS,T-09,Brazil,BRA,0–2,0,2,-2,2,0,0,0,1,5,0,6
France v South Korea,T-28,France,FRA,T-68,South Korea,KOR,1–1,1,1,0,0,0,0,0,0,4,0,6
Switzerland v Togo,T-72,Switzerland,CHE,T-73,Togo,TGO,2–0,2,0,2,-2,0,0,1,0,4,0,6
Saudi Arabia v Ukraine,T-60,Saudi Arabia,SAU,T-77,Ukraine,UKR,0–4,0,4,-4,4,0,0,0,1,6,0,6
Spain v Tunisia,T-70,Spain,ESP,T-75,Tunisia,TUN,3–1,3,1,2,-2,0,0,1,0,8,0,6
Costa Rica v Poland,T-16,Costa Rica,CRI,T-55,Poland,POL,1–2,1,2,-1,1,0,0,0,1,10,0,6
Ecuador v Germany,T-24,Ecuador,ECU,T-29,Germany,DEU,0–3,0,3,-3,3,0,0,0,1,2,0,6
Paraguay v Trinidad and Tobago,T-53,Paraguay,PRY,T-74,Trinidad and Tobago,TTO,2–0,2,0,2,-2,0,0,1,0,4,0,6
England v Sweden,T-27,England,ENG,T-71,Sweden,SWE,2–2,2,2,0,0,0,0,0,0,6,0,12
Angola v Iran,T-02,Angola,AGO,T-36,Iran,IRN,1–1,1,1,0,0,0,0,0,0,6,0,6
Mexico v Portugal,T-44,Mexico,MEX,T-56,Portugal,PRT,1–2,1,2,-1,1,0,0,0,1,10,1,6
Ivory Coast v Serbia and Montenegro,T-40,Ivory Coast,CIV,T-64,Serbia and Montenegro,SCG,3–2,3,2,1,-1,0,0,1,0,11,2,4
Argentina v Netherlands,T-03,Argentina,ARG,T-46,Netherlands,NLD,0–0,0,0,0,0,0,0,0,0,18,2,18
Czech Republic v Italy,T-19,Czech Republic,CZE,T-39,Italy,ITA,0–2,0,2,-2,2,0,0,0,1,4,1,6
Ghana v United States,T-30,Ghana,GHA,T-79,United States,USA,2–1,2,1,1,-1,0,0,1,0,7,0,12
Australia v Croatia,T-04,Australia,AUS,T-17,Croatia,HRV,2–2,2,2,0,0,0,0,0,0,11,3,6
Brazil v Japan,T-09,Brazil,BRA,T-42,Japan,JPN,4–1,4,1,3,-3,0,0,1,0,2,0,6
Saudi Arabia v Spain,T-60,Saudi Arabia,SAU,T-70,Spain,ESP,0–1,0,1,-1,1,0,0,0,1,5,0,6
Tunisia v Ukraine,T-75,Tunisia,TUN,T-77,Ukraine,UKR,0–1,0,1,-1,1,0,0,0,1,9,1,6
South Korea v Switzerland,T-68,South Korea,KOR,T-72,Switzerland,CHE,0–2,0,2,-2,2,0,0,0,1,10,0,5
France v Togo,T-28,France,FRA,T-73,Togo,TGO,2–0,2,0,2,-2,0,0,1,0,4,0,5
Germany v Sweden,T-29,Germany,DEU,T-71,Sweden,SWE,2–0,2,0,2,-2,0,0,1,0,11,2,12
Argentina v Mexico,T-03,Argentina,ARG,T-44,Mexico,MEX,2–1,2,1,1,-1,0,0,1,0,7,0,11
Ecuador v England,T-24,Ecuador,ECU,T-27,England,ENG,0–1,0,1,-1,1,0,0,0,1,6,0,5
Netherlands v Portugal,T-46,Netherlands,NLD,T-56,Portugal,PRT,0–1,0,1,-1,1,0,0,0,1,20,4,6
Australia v Italy,T-04,Australia,AUS,T-39,Italy,ITA,0–1,0,1,-1,1,0,0,0,1,6,1,4
Switzerland v Ukraine,T-72,Switzerland,CHE,T-77,Ukraine,UKR,0–0,0,0,0,0,0,3,0,1,1,0,6
Brazil v Ghana,T-09,Brazil,BRA,T-30,Ghana,GHA,3–0,3,0,3,-3,0,0,1,0,9,1,5
France v Spain,T-28,France,FRA,T-70,Spain,ESP,3–1,3,1,2,-2,0,0,1,0,4,0,5
Argentina v Germany,T-03,Argentina,ARG,T-29,Germany,DEU,1–1,1,1,0,0,2,4,0,1,11,0,12
Italy v Ukraine,T-39,Italy,ITA,T-77,Ukraine,UKR,3–0,3,0,3,-3,0,0,1,0,3,0,6
England v Portugal,T-27,England,ENG,T-56,Portugal,PRT,0–0,0,0,0,0,1,3,0,1,4,1,6
Brazil v France,T-09,Brazil,BRA,T-28,France,FRA,0–1,0,1,-1,1,0,0,0,1,13,1,15
Germany v Italy,T-29,Germany,DEU,T-39,Italy,ITA,0–2,0,2,-2,2,0,0,0,1,3,0,6
France v Portugal,T-28,France,FRA,T-56,Portugal,PRT,1–0,1,0,1,-1,0,0,1,0,2,0,6
Germany v Portugal,T-29,Germany,DEU,T-56,Portugal,PRT,3–1,3,1,2,-2,0,0,1,0,6,1,12
France v Italy,T-28,France,FRA,T-39,Italy,ITA,1–1,1,1,0,0,3,5,0,1,15,1,18
Mexico v South Africa,T-44,Mexico,MEX,T-67,South Africa,ZAF,1–1,1,1,0,0,0,0,0,0,4,0,5
France v Uruguay,T-28,France,FRA,T-80,Uruguay,URY,0–0,0,0,0,0,0,0,0,0,12,1,12
Greece v South Korea,T-31,Greece,GRC,T-68,South Korea,KOR,0–2,0,2,-2,2,0,0,0,1,1,0,6
Argentina v Nigeria,T-03,Argentina,ARG,T-48,Nigeria,NGA,1–0,1,0,1,-1,0,0,1,0,8,0,15
England v United States,T-27,England,ENG,T-79,United States,USA,1–1,1,1,0,0,0,0,0,0,6,0,5
Algeria v Slovenia,T-01,Algeria,DZA,T-66,Slovenia,SVN,0–1,0,1,-1,1,0,0,0,1,6,1,6
Ghana v Serbia,T-30,Ghana,GHA,T-63,Serbia,SRB,1–0,1,0,1,-1,0,0,1,0,7,1,6
