team_id,goal_differential,win_lose_differential,yellow_card,red_card,player_per_teams,world_cup_appearence,finals_reached,finals_win,different_managers,goals_for,goals_against,team_name
T-01,-6,-4,19,2,57,4,0,0,4,13,19,Algeria
T-02,-1,-1,12,1,17,1,0,0,1,1,2,Angola
T-03,44,23,122,7,221,17,5,2,15,137,93,Argentina
T-04,-18,-8,33,4,63,5,0,0,5,13,31,Australia
T-05,-4,-1,23,1,93,7,0,0,8,43,47,Austria
T-06,-4,2,51,3,156,13,0,0,10,68,72,Belgium
T-07,-19,-5,9,2,42,3,0,0,3,1,20,Bolivia
T-08,0,-1,3,0,20,1,0,0,1,4,4,Bosnia and Herzegovina
T-09,124,57,98,9,262,21,7,5,15,229,105,Brazil
T-10,-31,-11,40,3,90,7,0,0,7,22,53,Bulgaria
T-11,-25,-8,49,8,80,7,0,0,7,18,43,Cameroon
T-12,-5,-3,4,1,17,1,0,0,1,0,5,Canada
T-13,-9,-5,45,2,131,9,0,0,8,40,49,Chile
T-14,-9,-3,5,1,19,1,0,0,1,0,9,China
T-15,2,-2,31,1,81,6,0,0,4,32,30,Colombia
T-16,-9,-3,38,1,66,5,0,0,4,19,28,Costa Rica
T-17,9,5,54,4,60,5,1,0,5,35,26,Croatia
T-18,-7,0,0,0,14,1,0,0,1,5,12,Cuba
T-19,-1,-1,8,2,19,1,0,0,1,3,4,Czech Republic
T-20,-1,-3,19,4,116,8,2,0,7,44,45,Czechoslovakia
T-21,4,2,39,3,78,5,0,0,4,30,26,Denmark
T-22,-6,-1,0,0,11,1,0,0,1,0,6,Dutch East Indies
T-23,0,0,10,0,19,1,0,0,1,5,5,East Germany
T-24,-1,-1,23,1,40,3,0,0,3,10,11,Ecuador
T-25,-7,-5,9,0,43,3,0,0,3,5,12,Egypt
T-26,-21,-6,9,0,33,2,0,0,2,1,22,El Salvador
T-27,27,8,57,3,190,15,1,1,9,91,64,England
T-28,43,15,71,6,183,15,3,2,12,120,77,France
T-29,47,22,81,5,235,19,8,4,10,95,48,Germany
T-30,-3,-2,36,1,43,3,0,0,3,13,16,Ghana
T-31,-15,-5,22,1,51,3,0,0,3,5,20,Greece
T-32,-12,-3,3,0,17,1,0,0,1,2,14,Haiti
T-33,-11,-6,16,2,45,3,0,0,3,3,14,Honduras
T-34,30,1,6,4,110,9,2,0,7,87,57,Hungary
T-35,-3,-2,3,0,18,1,0,0,1,2,5,Iceland
T-36,-15,-7,22,0,70,5,0,0,4,9,24,Iran
T-37,-3,-3,9,1,18,1,0,0,1,1,4,Iraq
T-38,-2,-1,4,0,15,1,0,0,1,1,3,Israel
T-39,51,26,94,8,226,18,6,4,14,128,77,Italy
T-40,-1,-2,22,1,35,3,0,0,3,13,14,Ivory Coast
T-41,-6,-1,7,1,18,1,0,0,1,3,9,Jamaica
T-42,-9,-7,36,0,74,6,0,0,5,20,29,Japan
T-43,-4,-2,3,0,14,1,0,0,1,2,6,Kuwait
T-44,-38,-13,85,6,197,16,0,0,13,60,98,Mexico
T-45,-8,-7,27,0,79,5,0,0,5,14,22,Morocco
T-46,38,15,102,7,125,10,3,0,9,86,48,Netherlands
T-47,-10,-3,6,0,30,2,0,0,2,4,14,New Zealand
T-48,-7,-6,31,1,84,6,0,0,6,23,30,Nigeria
T-49,-15,-4,2,0,31,2,0,0,2,6,21,North Korea
T-50,-10,-2,9,1,38,3,0,0,2,13,23,Northern Ireland
T-51,-1,-1,13,0,37,3,0,0,2,7,8,Norway
T-52,-9,-3,11,0,20,1,0,0,1,2,11,Panama
T-53,-8,-2,42,2,103,8,0,0,8,30,38,Paraguay
T-54,-12,-5,10,1,68,5,0,0,5,21,33,Peru
T-55,1,3,46,1,117,8,0,0,7,46,45,Poland
T-56,14,5,54,6,100,7,0,0,7,49,35,Portugal
T-57,0,-1,16,0,37,3,0,0,2,10,10,Republic of Ireland
T-58,-2,-2,32,1,87,7,0,0,6,30,32,Romania
T-59,4,-2,32,2,64,4,0,0,4,24,20,Russia
T-60,-28,-8,23,1,66,5,0,0,6,11,39,Saudi Arabia
T-61,-16,-8,17,1,103,8,0,0,9,25,41,Scotland
T-62,1,1,20,1,36,2,0,0,2,11,10,Senegal
T-63,-3,-2,20,1,34,2,0,0,2,4,7,Serbia
T-64,-8,-3,13,2,18,1,0,0,1,2,10,Serbia and Montenegro
T-65,-2,-1,11,0,21,1,0,0,1,5,7,Slovakia
T-66,-5,-3,19,1,35,2,0,0,2,5,10,Slovenia
T-67,-5,-1,21,2,46,3,0,0,3,11,16,South Africa
T-68,-36,-12,74,2,125,10,0,0,10,34,70,South Korea
T-69,19,5,19,2,92,7,0,0,5,53,34,Soviet Union
T-70,27,10,65,1,213,15,2,1,13,99,72,Spain
T-71,7,1,53,3,157,12,2,0,10,80,73,Sweden
T-72,-14,-6,40,2,133,11,0,0,8,50,64,Switzerland
T-73,-5,-3,11,1,18,1,0,0,1,1,6,Togo
T-74,-4,-2,11,1,17,1,0,0,1,0,4,Trinidad and Tobago
T-75,-12,-7,35,1,78,5,0,0,6,13,25,Tunisia
T-76,3,1,20,2,32,2,0,0,2,20,17,Turkey
T-77,-2,1,12,1,18,1,0,0,1,5,7,Ukraine
T-78,-9,-3,8,1,16,1,0,0,1,2,11,United Arab Emirates
T-79,-25,-11,54,4,114,10,0,0,9,37,62,United States
T-80,13,5,68,9,168,13,2,2,9,87,74,Uruguay
T-81,0,0,0,0,14,1,0,0,1,4,4,Wales
T-83,14,2,30,2,115,9,0,0,8,60,46,Yugoslavia
T-84,-14,-3,2,1,16,1,0,0,1,0,14,Zaire
