manager_id,n_appearances,n_wc,goals_difference,win_rate,lose_rate,draw_rate,n_wc_wins_rate,C-1,C-2,C-3,Segm K-means PCA,Segment
M-010,3,1,-2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3361566544935466,-0.3044879380975675,0.9501333596276648,2,2
M-026,3,1,-3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.41716091299001556,-0.25574667838214316,0.9393192276899986,2,2
M-027,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.17414813750060895,-0.40197045752841626,0.9717616235029971,2,2
M-028,5,1,3,0.4,0.2,0.4,0.0,0.651975939511485,-0.37318034845488174,1.3382832080706548,2,2
M-034,5,1,-2,0.4,0.4,0.2,0.0,-0.129468595513462,-0.3660438001677757,0.2084454509050013,2,2
M-045,6,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.17728250039360022,-0.044386003328608786,0.8118503639871496,2,2
M-047,6,1,-5,0.3333333333333333,0.5,0.16666666666666666,0.0,-0.541424827540913,0.0021788366734998483,-0.13869287693228333,2,2
M-049,6,1,-3,0.16666666666666666,0.5,0.3333333333333333,0.0,-0.6241047636266739,0.45741860417617075,0.5741638116588598,2,2
M-051,4,1,2,0.5,0.25,0.25,0.0,0.5065353962618482,-0.8344097165386755,0.6970940001061205,2,2
M-057,5,1,4,0.4,0.2,0.4,0.0,0.7329801980079539,-0.42192160817030616,1.349097340008321,2,2
M-058,3,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.09314387900414003,-0.4507117172438407,0.9825757554406632,2,2
M-059,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.17414813750060895,-0.40197045752841626,0.9717616235029971,2,2
M-071,7,1,2,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.6858811180968647,-0.2821888804905767,0.6413222266332416,2,2
M-075,5,1,-4,0.4,0.4,0.2,0.0,-0.2914771125063998,-0.26856128073692703,0.18681718702966899,2,2
M-078,5,1,5,0.6,0.2,0.2,0.0,1.107610600198861,-1.1339296122059541,0.5304373622870141,2,2
M-080,6,1,-2,0.5,0.3333333333333333,0.16666666666666666,0.0,0.25996243647936107,-0.4996257708312798,0.09899367539600652,2,2
M-088,3,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.09314387900414003,-0.4507117172438407,0.9825757554406632,2,2
M-093,3,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.09314387900414003,-0.4507117172438407,0.9825757554406632,2,2
M-097,6,1,0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.4219709534722988,-0.5971082902621285,0.12062193927133884,2,2
M-102,3,1,-3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.41716091299001556,-0.25574667838214316,0.9393192276899986,2,2
M-109,4,1,0,0.25,0.5,0.25,0.0,-0.49303485352739057,-0.20355595457006698,0.36759950145785114,2,2
M-112,7,1,5,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.9288938935862714,-0.42841265963684977,0.67376462244624,2,2
M-117,4,1,2,0.5,0.25,0.25,0.0,0.5065353962618482,-0.8344097165386755,0.6970940001061205,2,2
M-123,4,1,3,0.5,0.25,0.25,0.0,0.5875396547583172,-0.8831509762540999,0.7079081320437867,2,2
M-125,6,1,-1,0.3333333333333333,0.5,0.16666666666666666,0.0,-0.21740779355503745,-0.19278620218819756,-0.09543634918161871,2,2
M-127,4,1,-2,0.25,0.5,0.25,0.0,-0.6550433705203283,-0.10607343513921835,0.34597123758251885,2,2
M-134,5,1,2,0.4,0.4,0.2,0.0,0.19454843847241363,-0.5610088390294732,0.2517019786556659,2,2
M-140,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.17414813750060895,-0.40197045752841626,0.9717616235029971,2,2
M-141,4,1,-2,0.25,0.5,0.25,0.0,-0.6550433705203283,-0.10607343513921835,0.34597123758251885,2,2
M-149,4,1,3,0.25,0.5,0.25,0.0,-0.2500220780379838,-0.3497797337163401,0.4000418972708496,2,2
M-153,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.17414813750060895,-0.40197045752841626,0.9717616235029971,2,2
M-155,4,1,0,0.25,0.5,0.25,0.0,-0.49303485352739057,-0.20355595457006698,0.36759950145785114,2,2
M-159,5,1,1,0.4,0.4,0.2,0.0,0.11354417997594468,-0.5122675793140488,0.24088784671799973,2,2
M-168,4,1,7,0.5,0.25,0.25,0.0,0.9115566887441928,-1.0781160151157974,0.7511646597944514,2,2
M-177,3,1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.25515239599707784,-0.35322919781299195,0.9609474915653309,2,2
M-185,3,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.09314387900414003,-0.4507117172438407,0.9825757554406632,2,2
M-189,3,1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.012139620507671124,-0.49945297695926494,0.9933898873783295,2,2
M-193,3,1,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3118774134782046,-0.6944180158209624,1.036646415128994,2,2
M-194,5,1,1,0.4,0.2,0.4,0.0,0.48996742251854725,-0.275697829024033,1.3166549441953226,2,2
M-205,3,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.06886463798879783,-0.5481942366746894,1.0042040193159956,2,2
M-210,4,1,-4,0.25,0.5,0.25,0.0,-0.8170518875132662,-0.008590915708369626,0.32434297370718657,2,2
M-218,4,1,-1,0.25,0.5,0.25,0.0,-0.5740391120238595,-0.15481469485464264,0.356785369520185,2,2
M-229,5,1,2,0.6,0.2,0.2,0.0,0.8645978247094543,-0.987705833059681,0.4979949664740157,2,2
M-247,5,1,3,0.6,0.2,0.2,0.0,0.9456020832059233,-1.0364470927751055,0.5088090984116819,2,2
M-261,5,1,1,0.4,0.2,0.4,0.0,0.48996742251854725,-0.275697829024033,1.3166549441953226,2,2
M-285,5,1,-1,0.2,0.4,0.4,0.0,-0.3420904807114314,0.24848168443702362,1.0487336925016406,2,2
M-289,4,1,1,0.5,0.25,0.25,0.0,0.4255311377653794,-0.7856684568232511,0.6862798681684543,2,2
M-292,3,1,-1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.25515239599707784,-0.35322919781299195,0.9609474915653309,2,2
M-295,5,1,1,0.4,0.4,0.2,0.0,0.11354417997594468,-0.5122675793140488,0.24088784671799973,2,2
M-306,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.17414813750060895,-0.40197045752841626,0.9717616235029971,2,2
M-310,3,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.17414813750060895,-0.40197045752841626,0.9717616235029971,2,2
M-311,4,1,2,0.5,0.25,0.25,0.0,0.5065353962618482,-0.8344097165386755,0.6970940001061205,2,2
M-318,3,1,-7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.7411779469758913,-0.06078163952044577,0.8960626999393341,2,2
M-323,5,1,5,0.6,0.2,0.2,0.0,1.107610600198861,-1.1339296122059541,0.5304373622870141,2,2
M-326,4,1,0,0.25,0.5,0.25,0.0,-0.49303485352739057,-0.20355595457006698,0.36759950145785114,2,2
M-331,4,1,1,0.5,0.25,0.25,0.0,0.4255311377653794,-0.7856684568232511,0.6862798681684543,2,2
M-336,3,1,-3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.41716091299001556,-0.25574667838214316,0.9393192276899986,2,2
M-351,4,1,-2,0.25,0.5,0.25,0.0,-0.6550433705203283,-0.10607343513921835,0.34597123758251885,2,2
