manager_id,n_appearances,n_wc,win,lose,draw,goals_difference,n_wc_wins
M-253,9,2,8,0,1,15,2
M-022,18,3,9,3,6,8,1
M-024,14,2,8,2,4,11,1
M-313,4,1,4,0,0,12,1
M-297,21,3,14,4,3,13,1
M-296,25,4,16,4,5,30,1
M-263,10,2,7,2,1,8,1
M-234,24,6,10,9,5,-4,1
M-204,6,1,5,0,1,9,1
M-192,12,2,7,4,1,12,1
M-174,17,3,12,4,1,23,1
M-170,9,2,6,2,1,17,1
M-166,10,2,5,1,4,9,1
M-130,7,1,6,0,1,13,1
M-114,18,4,9,5,4,9,1
M-086,9,2,6,2,1,10,1
M-072,12,2,9,1,2,15,1
M-070,10,2,7,3,0,3,1
M-030,14,2,8,2,4,10,1
M-356,20,3,13,4,3,18,1
M-001,4,1,0,1,3,-3,0
M-002,3,1,0,3,0,-10,0
M-003,8,2,4,3,1,1,0
M-004,8,2,3,3,2,-1,0
M-005,3,1,0,1,2,-1,0
M-006,3,1,0,3,0,-12,0
M-007,3,1,0,2,1,-5,0
M-008,6,2,0,3,3,-4,0
M-009,5,1,3,2,0,2,0
M-010,3,1,1,1,1,-2,0
M-011,3,1,1,2,0,-1,0
M-012,3,1,0,2,1,-2,0
M-013,4,1,3,1,0,5,0
M-014,8,2,2,4,2,-4,0
M-015,3,1,0,2,1,-5,0
M-016,3,1,2,1,0,4,0
M-017,3,1,0,2,1,-3,0
M-018,15,4,5,8,2,3,0
M-019,2,1,1,1,0,0,0
M-020,4,1,2,2,0,2,0
M-021,6,1,4,2,0,8,0
M-023,2,1,0,2,0,-8,0
M-025,7,2,0,3,4,-5,0
M-026,3,1,1,1,1,-3,0
M-027,3,1,1,1,1,0,0
M-028,5,1,2,1,2,3,0
M-029,7,2,3,3,1,-2,0
M-031,8,2,1,3,4,-6,0
M-032,7,1,5,2,0,6,0
M-033,3,1,0,3,0,-3,0
M-034,5,1,2,2,1,-2,0
M-035,3,1,0,2,1,-6,0
M-036,2,1,0,2,0,-7,0
M-037,4,1,0,2,2,-6,0
M-038,3,1,0,2,1,-4,0
M-039,4,1,1,1,2,0,0
M-040,3,1,0,2,1,-4,0
M-041,2,1,0,2,0,-3,0
M-042,3,1,1,2,0,-1,0
M-043,3,1,1,2,0,-1,0
M-044,3,1,0,2,1,-2,0
M-045,6,1,2,2,2,0,0
M-046,1,1,0,1,0,-2,0
M-047,6,1,2,3,1,-5,0
M-048,5,1,3,0,2,5,0
M-049,6,1,1,3,2,-3,0
M-050,7,2,1,2,4,-3,0
M-051,4,1,2,1,1,2,0
M-052,4,1,1,1,2,1,0
M-053,3,1,0,3,0,-9,0
M-054,3,1,1,2,0,1,0
M-055,3,1,0,2,1,-7,0
M-056,9,2,1,3,5,-3,0
M-057,5,1,2,1,2,4,0
M-058,3,1,1,1,1,1,0
M-059,3,1,1,1,1,0,0
M-060,8,2,3,2,3,8,0
M-061,3,1,1,2,0,-2,0
M-062,6,1,4,1,1,16,0
M-063,7,1,4,0,3,7,0
M-064,3,1,0,3,0,-4,0
M-065,3,1,1,2,0,-1,0
M-066,7,1,4,1,2,5,0
M-067,2,1,1,1,0,3,0
M-068,3,1,0,1,2,-1,0
M-069,3,1,0,3,0,-3,0
M-071,7,1,3,2,2,2,0
M-073,4,1,2,2,0,0,0
M-074,4,1,3,1,0,10,0
M-075,5,1,2,2,1,-4,0
M-076,10,2,4,2,4,3,0
M-077,4,1,2,2,0,-2,0
M-078,5,1,3,1,1,5,0
M-079,2,1,1,1,0,-2,0
M-080,6,1,3,2,1,-2,0
M-081,3,1,1,2,0,-4,0
M-082,9,2,2,4,3,-1,0
M-083,13,3,6,2,5,8,0
M-084,3,1,1,2,0,0,0
M-085,4,1,1,1,2,1,0
M-087,3,1,0,2,1,-2,0
M-088,3,1,1,1,1,1,0
M-089,3,1,0,3,0,-8,0
M-090,2,1,0,1,1,-2,0
M-091,3,1,0,3,0,-8,0
M-092,3,1,0,3,0,-6,0
M-093,3,1,1,1,1,1,0
M-094,3,1,1,2,0,0,0
M-095,2,2,0,2,0,-4,0
M-096,6,1,5,1,0,9,0
M-097,6,1,3,2,1,0,0
M-098,3,1,1,2,0,-1,0
M-099,3,2,0,3,0,-7,0
M-100,9,3,2,7,0,-13,0
M-101,3,1,0,1,2,-1,0
M-102,3,1,1,1,1,-3,0
M-103,7,1,6,1,0,11,0
M-104,1,1,0,1,0,-6,0
M-105,5,1,3,0,2,5,0
M-106,3,1,0,2,1,-3,0
M-107,6,2,1,4,1,-7,0
M-108,7,1,4,2,1,4,0
M-109,4,1,1,2,1,0,0
M-110,3,1,0,2,1,-3,0
M-111,1,1,0,1,0,-1,0
M-112,7,1,3,2,2,5,0
M-113,4,1,1,0,3,1,0
M-115,3,1,0,0,3,0,0
M-116,3,1,1,2,0,-1,0
M-117,4,1,2,1,1,2,0
M-118,3,1,1,2,0,-1,0
M-119,10,2,4,4,2,4,0
M-120,18,3,7,5,6,7,0
M-121,4,1,1,0,3,1,0
M-122,7,2,3,3,1,0,0
M-123,4,1,2,1,1,3,0
M-124,7,2,1,4,2,-4,0
M-125,6,1,2,3,1,-1,0
M-126,3,1,0,2,1,-3,0
M-127,4,1,1,2,1,-2,0
M-128,9,2,5,2,2,2,0
M-129,3,1,0,2,1,-4,0
M-131,3,1,1,2,0,-2,0
M-132,3,1,1,2,0,-4,0
M-133,4,1,1,1,2,1,0
M-134,5,1,2,2,1,2,0
M-135,3,1,1,2,0,-1,0
M-136,13,3,6,4,3,5,0
M-137,1,1,0,1,0,-1,0
M-138,3,1,0,2,1,-3,0
M-139,3,1,0,3,0,-5,0
M-140,3,1,1,1,1,0,0
M-141,4,1,1,2,1,-2,0
M-142,3,1,2,1,0,0,0
M-143,3,1,0,1,2,-1,0
M-144,3,1,0,3,0,-11,0
M-145,3,1,0,2,1,-3,0
M-146,2,1,0,2,0,-16,0
M-147,1,1,0,1,0,-1,0
M-148,11,2,6,3,2,7,0
M-149,4,1,1,2,1,3,0
M-150,3,1,1,2,0,0,0
M-151,3,1,0,1,2,-1,0
M-152,3,1,1,2,0,-2,0
M-153,3,1,1,1,1,0,0
M-154,4,1,2,0,2,4,0
M-155,4,1,1,2,1,0,0
M-156,11,3,2,4,5,-3,0
M-157,3,1,1,2,0,-1,0
M-158,4,1,1,1,2,1,0
M-159,5,1,2,2,1,1,0
M-160,4,1,3,1,0,2,0
M-161,3,1,0,3,0,-3,0
M-162,3,1,0,1,2,-3,0
M-163,3,1,0,3,0,-5,0
M-164,3,1,0,0,3,0,0
M-165,6,2,0,4,2,-6,0
M-167,2,1,0,1,1,-3,0
M-168,4,1,2,1,1,7,0
M-169,3,1,1,2,0,0,0
M-171,5,2,0,4,1,-13,0
M-172,7,2,3,2,2,1,0
M-173,6,1,3,3,0,3,0
M-175,3,1,0,3,0,-9,0
M-176,3,1,1,2,0,-3,0
M-177,3,1,1,1,1,-1,0
M-178,9,2,4,2,3,4,0
M-179,5,1,4,1,0,4,0
M-180,3,1,0,3,0,-5,0
M-181,7,1,6,1,0,10,0
M-182,5,1,1,1,3,1,0
M-183,1,1,0,1,0,-6,0
M-184,7,2,2,4,1,-1,0
M-185,3,1,1,1,1,1,0
M-186,4,1,1,0,3,3,0
M-187,1,1,0,1,0,-2,0
M-188,4,1,2,2,0,0,0
M-189,3,1,1,1,1,2,0
M-190,4,1,1,1,2,0,0
M-191,3,1,2,1,0,0,0
M-193,3,1,1,1,1,6,0
M-194,5,1,2,1,2,1,0
M-195,3,1,1,2,0,-7,0
M-196,16,4,6,6,4,-3,0
M-197,7,1,5,1,1,12,0
M-198,6,1,3,3,0,3,0
M-199,9,2,2,4,3,5,0
M-200,3,1,2,1,0,1,0
M-201,20,5,8,9,3,-11,0
M-202,3,1,0,1,2,-3,0
M-203,3,1,0,2,1,-6,0
M-205,3,1,1,1,1,3,0
M-206,6,1,4,2,0,4,0
M-207,2,1,1,1,0,0,0
M-208,5,1,3,1,1,7,0
M-209,5,1,1,1,3,0,0
M-210,4,1,1,2,1,-4,0
M-211,2,1,1,1,0,1,0
M-212,3,1,1,2,0,2,0
M-213,5,1,4,1,0,5,0
M-214,3,1,1,2,0,-3,0
M-215,5,1,3,2,0,-2,0
M-216,4,1,3,1,0,3,0
M-217,3,1,1,2,0,-1,0
M-218,4,1,1,2,1,-1,0
M-219,3,1,0,3,0,-3,0
M-220,2,1,1,1,0,1,0
M-221,7,2,2,4,1,-1,0
M-222,5,1,4,1,0,9,0
M-223,3,1,1,2,0,2,0
M-224,7,2,2,2,3,0,0
M-225,7,2,3,3,1,-3,0
M-226,3,1,0,2,1,-2,0
M-227,3,1,1,0,2,2,0
M-228,3,1,2,1,0,2,0
M-229,5,1,3,1,1,2,0
M-230,4,1,2,2,0,-3,0
M-231,3,1,0,2,1,-6,0
M-232,3,1,0,3,0,-10,0
M-233,3,1,0,2,1,-5,0
M-235,1,1,0,1,0,-1,0
M-236,5,1,3,1,1,6,0
M-237,3,1,0,2,1,-6,0
M-238,14,3,9,2,3,19,0
M-239,7,1,3,3,1,-1,0
M-240,3,1,0,3,0,-8,0
M-241,4,1,1,1,2,0,0
M-242,4,1,3,1,0,3,0
M-243,2,1,1,1,0,0,0
M-244,3,1,0,3,0,-5,0
M-245,2,1,1,1,0,0,0
M-246,11,2,4,3,4,0,0
M-247,5,1,3,1,1,3,0
M-248,5,1,2,0,3,3,0
M-249,4,1,3,1,0,4,0
M-250,3,1,1,2,0,-5,0
M-251,3,1,0,2,1,-5,0
M-252,3,1,0,3,0,-6,0
M-254,3,1,1,2,0,-1,0
M-255,1,1,0,1,0,-8,0
M-256,3,1,0,1,2,-1,0
M-257,3,1,0,1,2,-1,0
M-258,3,1,1,2,0,-1,0
M-259,10,3,2,4,4,3,0
M-260,5,3,1,3,1,-4,0
M-261,5,1,2,1,2,1,0
M-262,3,1,0,2,1,-3,0
M-264,10,3,3,6,1,-6,0
M-265,3,1,0,2,1,-5,0
M-266,11,2,6,3,2,1,0
M-267,4,1,1,1,2,-2,0
M-268,3,1,1,2,0,-3,0
M-269,3,1,0,2,1,-2,0
M-270,6,1,4,2,0,2,0
M-271,12,2,5,3,4,6,0
M-272,3,1,0,3,0,-10,0
M-273,3,1,0,3,0,-12,0
M-274,3,1,1,2,0,-1,0
M-275,3,1,1,2,0,0,0
M-276,3,1,1,2,0,-1,0
M-277,6,2,1,3,2,-3,0
M-278,3,1,1,2,0,0,0
M-279,6,2,0,4,2,-6,0
M-280,7,1,5,1,1,4,0
M-281,7,1,4,1,2,3,0
M-282,3,1,1,2,0,1,0
M-283,8,2,3,3,2,-1,0
M-284,3,1,0,3,0,-4,0
M-285,5,1,1,2,2,-1,0
M-286,10,2,8,1,1,18,0
M-287,3,1,0,3,0,-5,0
M-288,8,2,2,2,4,-2,0
M-289,4,1,2,1,1,1,0
M-290,2,1,0,2,0,-8,0
M-291,2,1,0,1,1,-1,0
M-292,3,1,1,1,1,-1,0
M-293,4,1,3,1,0,10,0
M-294,3,1,0,1,2,-2,0
M-295,5,1,2,2,1,1,0
M-298,5,1,4,1,0,17,0
M-299,3,1,0,2,1,-3,0
M-300,6,1,3,3,0,-3,0
M-301,3,1,1,2,0,0,0
M-302,3,1,1,2,0,-6,0
M-303,3,1,2,1,0,0,0
M-304,4,1,1,1,2,0,0
M-305,4,1,2,2,0,-1,0
M-306,3,1,1,1,1,0,0
M-307,3,1,0,2,1,-4,0
M-308,7,1,3,3,1,4,0
M-309,3,1,1,2,0,-5,0
M-310,3,1,1,1,1,0,0
M-311,4,1,2,1,1,2,0
M-312,7,2,2,5,0,-6,0
M-314,3,1,1,2,0,0,0
M-315,7,1,3,1,3,7,0
M-316,20,4,10,7,3,2,0
M-317,3,1,1,2,0,-2,0
M-318,3,1,1,1,1,-7,0
M-319,3,1,0,3,0,-12,0
M-320,16,3,6,7,3,-3,0
M-321,3,1,0,1,2,-4,0
M-322,7,2,2,2,3,-1,0
M-323,5,1,3,1,1,5,0
M-324,3,1,1,2,0,-2,0
M-325,5,1,4,1,0,9,0
M-326,4,1,1,2,1,0,0
M-327,6,2,1,3,2,-3,0
M-328,7,2,2,2,3,-1,0
M-329,1,1,0,1,0,-1,0
M-330,9,2,4,2,3,3,0
M-331,4,1,2,1,1,1,0
M-332,7,1,5,0,2,11,0
M-333,4,1,2,2,0,0,0
M-334,10,2,6,3,1,3,0
M-335,8,2,3,3,2,3,0
M-336,3,1,1,1,1,-3,0
M-337,3,1,0,3,0,-8,0
M-338,7,1,6,0,1,8,0
M-339,6,2,0,5,1,-18,0
M-340,4,1,1,1,2,-3,0
M-341,3,1,1,2,0,-1,0
M-342,3,1,0,0,3,0,0
M-343,1,1,0,1,0,-2,0
M-344,10,2,6,2,2,4,0
M-345,7,1,5,1,1,11,0
M-346,4,1,0,2,2,-4,0
M-347,9,2,3,5,1,-7,0
M-348,3,1,0,3,0,-5,0
M-349,3,1,0,2,1,-2,0
M-350,4,1,1,1,2,-1,0
M-351,4,1,1,2,1,-2,0
M-352,4,1,2,2,0,3,0
M-353,5,1,4,1,0,3,0
M-354,14,4,3,6,5,-2,0
M-355,3,1,0,2,1,-4,0
M-357,3,1,0,2,1,-5,0
